Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
1-2-3-4-5-6,363,66.125000,363,74.583336,0,-8.458336
1-2-3-4-5-7,363,60.583332,363,69.000000,0,-8.416668
1-2-3-4-5-8,369,75.833336,369,85.000000,0,-9.166664
1-2-3-4-5-9,363,75.500000,363,84.333336,0,-8.833336
1-2-3-4-5-10,363,78.041664,363,86.458336,0,-8.416672
1-2-3-4-5-11,363,80.125000,363,88.791664,0,-8.666664
1-2-3-4-5-12,363,79.541664,363,87.833336,0,-8.291672
1-2-3-4-5-13,363,77.250000,363,84.666664,0,-7.416664
1-2-3-4-5-14,363,75.125000,363,83.791664,0,-8.666664
1-2-3-4-5-15,363,75.916664,363,84.583336,0,-8.666672
1-2-3-4-5-16,363,70.958336,363,79.416664,0,-8.458328
1-2-3-4-5-17,363,94.083336,363,103.083336,0,-9.000000
1-2-3-4-5-18,363,75.625000,363,84.583336,0,-8.958336
1-2-3-4-5-19,363,74.375000,363,83.166664,0,-8.791664
1-2-3-4-5-20,363,73.750000,363,82.666664,0,-8.916664
1-2-3-4-5-21,363,71.666664,363,80.625000,0,-8.958336
1-2-3-4-6-7,249,62.166668,249,71.041664,0,-8.874996
1-2-3-4-6-8,363,86.875000,363,103.458336,0,-16.583336
1-2-3-4-6-9,249,88.041664,249,104.416664,0,-16.375000
1-2-3-4-6-10,249,83.625000,249,104.833336,0,-21.208336
1-2-3-4-6-11,249,87.083336,249,108.583336,0,-21.500000
1-2-3-4-6-12,249,84.833336,249,105.250000,0,-20.416664
1-2-3-4-6-13,249,84.625000,249,104.041664,0,-19.416664
1-2-3-4-6-14,249,81.416664,249,102.458336,0,-21.041672
1-2-3-4-6-15,249,81.375000,249,102.416664,0,-21.041664
1-2-3-4-6-16,249,73.125000,249,93.333336,0,-20.208336
1-2-3-4-6-17,338,106.708336,338,129.708328,0,-22.999992
1-2-3-4-6-18,249,88.041664,249,104.541664,0,-16.500000
1-2-3-4-6-19,249,87.875000,249,103.416664,0,-15.541664
1-2-3-4-6-20,304,87.583336,304,102.750000,0,-15.166664
1-2-3-4-6-21,283,86.041664,283,99.083336,0,-13.041672
1-2-3-4-7-8,363,74.000000,363,83.583336,0,-9.583336
1-2-3-4-7-9,249,77.583336,249,86.666664,0,-9.083328
1-2-3-4-7-10,249,74.791664,249,83.750000,0,-8.958336
1-2-3-4-7-11,249,78.166664,249,87.125000,0,-8.958336
1-2-3-4-7-12,249,76.375000,249,85.333336,0,-8.958336
1-2-3-4-7-13,249,75.708336,249,82.916664,0,-7.208328
1-2-3-4-7-14,249,72.750000,249,81.708336,0,-8.958336
1-2-3-4-7-15,249,73.083336,249,82.041664,0,-8.958328
1-2-3-4-7-16,249,67.750000,249,76.708336,0,-8.958336
1-2-3-4-7-17,338,95.708336,338,106.458336,0,-10.750000
1-2-3-4-7-18,249,77.791664,249,86.791664,0,-9.000000
1-2-3-4-7-19,249,76.541664,249,85.583336,0,-9.041672
1-2-3-4-7-20,304,76.000000,304,86.291664,0,-10.291664
1-2-3-4-7-21,283,74.166664,283,84.125000,0,-9.958336
